Site,,Last obs.,"Span
(yr)",Available,Processed,Not estimated,No solution
,First obs.,,,,,,
,,,,,,,
AALA,28-06-2022,11-07-2026,4.0,1382,1368,14,0
ATAL,31-08-2022,11-07-2026,3.9,1341,1304,37,0
BBAL,04-01-2023,11-07-2026,3.5,975,949,7,0
BKEG,27-06-2022,11-07-2026,4.0,1075,1065,10,0
BSAR,04-01-2023,10-07-2026,3.5,870,860,7,0
BUSH,27-06-2022,11-07-2026,4.0,1305,1293,12,0
BZHK,27-06-2022,11-07-2026,4.0,1224,1212,12,0
CATB,28-06-2022,11-07-2026,4.0,1160,1142,11,1
CBST,28-06-2022,11-07-2026,4.0,1233,1217,15,0
CERM,28-06-2022,11-07-2026,4.0,1172,1160,11,0
CKSH,28-06-2022,21-06-2026,4.0,1278,1266,12,0
DAKT,27-06-2022,11-07-2026,4.0,1202,1192,10,0
DBOZ,28-06-2022,11-07-2026,4.0,1423,1411,12,0
DEMB,28-06-2022,11-07-2026,4.0,1237,1172,65,0
DKOM,22-09-2022,11-07-2026,3.8,1033,1020,9,0
DSHL,28-06-2022,11-07-2026,4.0,1321,1304,17,0
DYRG,27-06-2022,11-07-2026,4.0,1423,1402,20,0
DZHN,03-08-2022,11-07-2026,3.9,1326,1311,14,0
DZHR,09-09-2022,11-07-2026,3.8,1259,1242,15,0
EATR,28-06-2022,11-07-2026,4.0,1345,1332,12,0
EIND,28-06-2022,11-07-2026,4.0,1404,1381,23,0
EKRB,29-06-2022,11-07-2026,4.0,1348,1328,18,0
EKUL,27-06-2022,06-07-2026,4.0,992,981,10,0
FAJG,27-06-2022,11-07-2026,4.0,1229,1205,12,1
FAKS,27-06-2022,05-07-2026,4.0,1117,1101,11,0
FCKP,18-10-2022,28-06-2026,3.7,1125,1114,10,0
FKRA,01-07-2022,11-07-2026,4.0,1345,1333,12,0
FKTK,25-07-2022,11-07-2026,4.0,696,687,9,0
FOSK,06-02-2023,29-06-2026,3.4,829,822,5,0
FSEM,27-06-2022,29-06-2026,4.0,1179,1167,12,0
FZAY,28-06-2022,11-07-2026,4.0,1077,1067,10,0
HMYA,12-09-2022,15-03-2026,3.5,1124,1110,11,0
HSHO,28-06-2022,11-07-2026,4.0,1352,1331,20,0
HTAR,09-08-2022,24-05-2026,3.8,1022,1012,7,0
HULB,28-06-2022,11-07-2026,4.0,1227,1202,20,0
HZHN,14-03-2023,15-04-2026,3.1,839,835,3,0
LAKS,28-06-2022,11-07-2026,4.0,1190,1177,12,0
LCHP,08-08-2022,11-07-2026,3.9,1262,1250,11,0
LKRT,15-08-2022,11-07-2026,3.9,1253,1242,11,0
LKZT,12-08-2022,11-07-2026,3.9,1017,996,16,0
LORA,28-06-2022,11-07-2026,4.0,1419,1386,33,0
LSAY,29-09-2022,11-07-2026,3.8,1155,1120,24,0
